node_id,name,ytag,pdu,backplane,type,parent,status,site,property,serialno,model,ponumber,locroom,locrow,locarea,loccage,locrack,locside,locshelf,racksize,console,cport,bootbox,bport,bmodule,bplug,bootbox2,bport2,bmodule2,bplug2,netswitch (Manual),sport (Manual) (Auto-discovered),netswitch (Auto-discovered),sport (Auto-discovered),vlan,mac,manufacturer,osname,bornondate,atime,c_time,m_time,notes,validation_status,procurement_ticket
227881,m55.grp.scd.yahoo.com,1029024,,a,host,,active,scd,groups|US,3BJZWC1,PowerEdge 2950,,0,3,A,0,3,a,14,2,konsole130.scd.yahoo.com,30013,konsole130.scd.yahoo.com,30004,0,7,,0,0,0,,0,,,,00:19:b9:c3:a7:53,Dell Computer Corporation,FreeBSD,1181844204,1232662394,2007-06-14 11:03:24,2009-01-22 14:13:14,,unvalidated nodes,
227877,m56.grp.scd.yahoo.com,1029027,,a,host,,active,scd,groups|US,F9JZWC1,PowerEdge 2950,,0,3,A,0,1,a,16,2,konsole233.scd.yahoo.com,30029,konsole233.scd.yahoo.com,30003,0,8,,0,0,0,,0,,,,00:19:b9:c2:06:60,Dell Computer Corporation,FreeBSD,1181844203,1232662394,2007-06-14 11:03:23,2009-01-22 14:13:14,,unvalidated nodes,
227880,m57.grp.scd.yahoo.com,1029145,,a,host,,active,scd,groups|US,5BJZWC1,PowerEdge 2950,,0,3,A,0,3,a,16,2,konsole130.scd.yahoo.com,30012,konsole130.scd.yahoo.com,30004,0,8,,0,0,0,,0,,,,00:19:b9:c3:c1:68,Dell Computer Corporation,FreeBSD,1181844204,1232662394,2007-06-14 11:03:24,2009-01-22 14:13:14,,unvalidated nodes,
223716,m6.grp.re1.yahoo.com,1028922,,a,host,Cabinet-273602.ops.re1.yahoo.com,active,re1,groups|US,DPHZWC1,PowerEdge 2950,88357,0,11,0,7,22,a,9,2,konsole7-11-21.re1.yahoo.com,30009,konsole7-11-21.re1.yahoo.com,30045,0,21,,0,0,0,,0,c3560-a89.re1.yahoo.com,Gi0/9,27,00:19:B9:C2:48:F7,Dell Computer Corporation,FreeBSD,1180188844,1234755855,2007-05-26 07:14:04,2009-02-15 19:44:15,,validated hosts,
223695,m7.grp.re1.yahoo.com,1029158,,a,host,Cabinet-273602.ops.re1.yahoo.com,active,re1,groups|US,HKH0XC1,PowerEdge 2950,88357,0,11,0,7,22,a,11,2,konsole7-11-22.re1.yahoo.com,30011,konsole7-11-22.re1.yahoo.com,30046,0,22,,0,0,0,,0,c3560-a90.re1.yahoo.com,Gi0/11,27,00:19:B9:C2:B5:9F,Dell Computer Corporation,FreeBSD,1180188842,1234755855,2007-05-26 07:14:02,2009-02-15 19:44:15,,validated hosts,
223715,m8.grp.re1.yahoo.com,1029160,,a,host,Cabinet-273602.ops.re1.yahoo.com,active,re1,groups|US,F8H0XC1,PowerEdge 2950,88357,0,11,0,7,22,a,11,2,konsole7-11-21.re1.yahoo.com,30011,konsole7-11-21.re1.yahoo.com,30046,0,21,,0,0,0,,0,c3560-a89.re1.yahoo.com,Gi0/11,27,00:19:B9:C3:E0:D9,Dell Computer Corporation,FreeBSD,1180188844,1234755855,2007-05-26 07:14:04,2009-02-15 19:44:15,,validated hosts,
197891,map1.grp.re1.yahoo.com,1022990,,a,host,,active,re1,groups|US,J0VQ2C1,PowerEdge 860,,0,10,A,7,26,a,20,1,konsole7-10-26.re1.yahoo.com,30020,konsole7-10-26.re1.yahoo.com,30045,0,14,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/20,27,00:15:C5:F5:43:99,Dell Computer Corporation,Linux,1169862293,1233092163,2007-01-26 17:44:53,2009-01-27 13:36:03,,validated hosts,
197890,map2.grp.re1.yahoo.com,1023180,,a,host,,active,re1,groups|US,37MS2C1,PowerEdge 860,,0,10,A,7,26,a,21,1,konsole7-10-26.re1.yahoo.com,30021,konsole7-10-26.re1.yahoo.com,30046,0,14,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/21,27,00:15:C5:F5:42:E8,Dell Computer Corporation,Linux,1169862293,1233092163,2007-01-26 17:44:53,2009-01-27 13:36:03,,validated hosts,
66325,map2.grp.scd.yahoo.com,72115,,a,host,,active,scd,groups|US,JC0ST61,PowerEdge 1850,,0,8,E,0,9,a,30,1,konsole53.scd.yahoo.com,30044,konsole53.scd.yahoo.com,30047,0,18,,0,0,0,,0,,,,00:11:43:d9:16:c8,Dell Computer Corporation,Linux,1110509613,1225280607,2005-03-10 18:53:33,2008-10-29 04:43:27,,validated hosts,
9081,map3.grp.scd.yahoo.com,57036,,a,host,,active,scd,groups|US,M02MMF662N,ProLiant DL140,,0,14,E,0,8,a,30,1,konsole62.scd.yahoo.com,30014,konsole62.scd.yahoo.com,30047,0,10,,0,0,0,,0,,,,00:0f:20:7a:4d:1f,HP,Linux,0,1210842185,1969-12-31 16:00:00,2008-05-15 02:03:05,,validated hosts,
